,1967,1969,1970,1971,1985-86,1986,1987,1988-89,1989-90,1990-91,1991,1992-93,1993-94,1994-95,1995,1996-97,1997-98,1998-99,1999-2000,2000-01,20001-02,2000-03,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Hapoel Tel Aviv (Israel),Juara,,Runner-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selangor (Malaysia),Runner-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maccabi Tel Aviv (Israel),,Juara,,Juara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangzee FC (South Korea),,Runner-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taj Tehran (Iran),,,Juara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliyat Al-Shorta (Iraq),,,,Runner-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daewoo Royals (South Korea),,,,,Juara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Ahli (Saudi Arabia),,,,,Runner-up,,,,,,,,,,,,,,,,,,,,,,,,,,Runner-up,,,Runner-up,,,,,,,
Furukawa Electric (Japan),,,,,,Juara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Hilal (Saudi Arabia),,,,,,Runner-up,Runner-up,,,,Juara,,,,,,,,Juara,,,,,,,,,,,,,,Runner-up,,,Runner-up,,Juara,,Juara,Runner-up
Yomiuri FC (Japan),,,,,,,Juara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Sadd (Qatar),,,,,,,,Juara,,,,,,,,,,,,,,,,,,,,,,Juara,,,,,,,,,,,
Al-Rasheed (Iraq),,,,,,,,Runner-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liaoning (China),,,,,,,,,Juara,Runner-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan Yokohama FC (Japan),,,,,,,,,Runner-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esteghlal (Iran),,,,,,,,,,Juara,Runner-up,,,,,,,Runner-up,,,,,,,,,,,,,,,,,,,,,,,
PAS Tehran (Iran),,,,,,,,,,,,Juara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Shabab (Saudi Arabia),,,,,,,,,,,,Runner-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thai Farmers Bank (Thailand),,,,,,,,,,,,,Juara,Juara,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman Club (Oman),,,,,,,,,,,,,Runner-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Arabi (Qatar),,,,,,,,,,,,,,Runner-up,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilhwa Chunma (South Korea) ,,,,,,,,,,,,,,,Juara,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheonan Ilhwa Chunma (South Korea),,,,,,,,,,,,,,,,Runner-up,,,,,,,Runner-up,,,,,,Juara,,,,,,,,,,,,
Seongnam Ilhwa Chunma (South Korea) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Nassr (Saudi Arabia),,,,,,,,,,,,,,,Runner-up,,,,,,,,,,,,,,,,,,,,,,,,,,
Pohang Steelers (South Korea),,,,,,,,,,,,,,,,Juara,Juara,,,,,,,,,,,Juara,,,,,,,,,,,,Runner-up,
Dalian Wanda (China),,,,,,,,,,,,,,,,,Runner-up,,,,,,,,,,,,,,,,,,,,,,,,
Jubilo Iwata (Japan),,,,,,,,,,,,,,,,,,Juara,Runner-up,Runner-up,,,,,,,,,,,,,,,,,,,,,
Suwon Samsung Bluewings (South Korea),,,,,,,,,,,,,,,,,,,,Juara,Juara,,,,,,,,,,,,,,,,,,,,
Anyang LG Cheetahs (South Korea),,,,,,,,,,,,,,,,,,,,,Runner-up,,,,,,,,,,,,,,,,,,,,
Al-Ain (UAE),,,,,,,,,,,,,,,,,,,,,,Juara,,Runner-up,,,,,,,,,,,Runner-up,,,,,,
BEC Tero Sasana (Thailand),,,,,,,,,,,,,,,,,,,,,,Runner-up,,,,,,,,,,,,,,,,,,,
Al-Ittihad (Saudi Arabia),,,,,,,,,,,,,,,,,,,,,,,Juara,Juara,,,,Runner-up,,,,,,,,,,,,,
Jeonbuk Hyundai Motors (South Korea),,,,,,,,,,,,,,,,,,,,,,,,,Juara,,,,,Runner-up,,,,,Juara,,,,,,
Al-Karamah (Syria),,,,,,,,,,,,,,,,,,,,,,,,,Runner-up,,,,,,,,,,,,,,,,
Urawa Red Diamonds (Japan),,,,,,,,,,,,,,,,,,,,,,,,,,Juara,,,,,,,,,,Juara,,Runner-up,,,Juara
Sepahan (Iran),,,,,,,,,,,,,,,,,,,,,,,,,,Runner-up,,,,,,,,,,,,,,,
Gamba Osaka (Japan),,,,,,,,,,,,,,,,,,,,,,,,,,,Juara,,,,,,,,,,,,,,
Adelaide United (Australia),,,,,,,,,,,,,,,,,,,,,,,,,,,Runner-up,,,,,,,,,,,,,,
Zob Ahan (Iran),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Runner-up,,,,,,,,,,,,
Ulsan Hyundai (South Korea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juara,,,,,,,,Juara,,
Guangzhou Evergrande (China),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juara,,Juara,,,,,,,
FC Seoul (South Korea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Runner-up,,,,,,,,,
Western Sydney Wanderers (Australia),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juara,,,,,,,,
Kashima Antlers (Japan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juara,,,,
Persepolis (Iran),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Runner-up,,Runner-up,,