Posisi,Klub,Main,Menang,Seri,Kalah,GF,GA,GD,Poin,Kartu Kuning,Kartu Merah
1,HAGGANA,19,17,2,0,49,3,46,53,6,0
2,PS. BINTANG ANGKASA,19,15,0,4,60,7,53,45,5,1
3,ANAK BANGSA,19,13,4,2,35,12,23,43,5,0
4,FATAHILLAH 354,19,12,4,3,42,14,28,40,4,0
5,PELINDO,19,12,4,3,37,10,27,40,5,0
6,FARFAZA FC,19,11,2,6,30,20,10,35,6,3
7,INDONESIA MUDA,19,9,6,4,28,15,13,33,7,2
8,BINTANG TIMUR,19,11,0,8,25,24,1,33,4,1
9,H.B.S,19,9,5,5,30,18,12,32,6,2
10,EL FAZA,19,10,2,7,22,14,8,32,7,4
11,UNTAG ROSITA,19,7,4,8,18,29,-11,25,7,1
12,SASANA BHAKTI,19,5,7,7,14,22,-8,22,6,3
13,T.E.O,19,5,3,11,21,27,-6,18,10,3
14,AL RAYYAN,19,4,5,10,12,23,-11,17,5,3
15,POLDA JATIM,19,3,5,11,12,30,-18,14,6,0
16,PS. ANGKATAN LAUT,19,3,5,11,16,37,-21,14,2,2
17,SEMUT HITAM,19,3,3,13,15,28,-13,12,8,2
18,PUTRA MARS,19,2,6,11,11,33,-22,12,11,5
19,MAESA,19,3,1,15,7,52,-45,10,5,1
20,PUTRA SURABAYA,19,1,2,16,3,69,-66,5,2,0